head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
Y38C1AA.14,gene_gene,T20D3.3,-0.28110256791114807,-0.071739344080056,REJECT,Cytochrome Oxidase Assembly subunits,Cytochrome Oxidase Assembly subunits,[],False,False,False,False,,,
Y38C1AA.14,gene_gene,COX1,-0.017450904473662376,-0.071739344080056,ACCEPT,Cytochrome Oxidase Assembly subunits,cytochrome c oxidase subunit I,[],False,False,False,False,,,
Y38C1AA.14,gene_gene,F36A2.7,-0.10878704488277435,-0.071739344080056,REJECT,Cytochrome Oxidase Assembly subunits,Cytochrome c oxidase subunit 4,[],False,False,False,False,,,
Y38C1AA.14,gene_gene,COX7B,-0.022248074412345886,-0.071739344080056,ACCEPT,Cytochrome Oxidase Assembly subunits,cytochrome c oxidase subunit 7B,[],False,False,False,False,,,
Y38C1AA.14,gene_protein,Q05809,-0.06451442837715149,-0.0280984394514378,REJECT,Cytochrome Oxidase Assembly subunits,Cytochrome oxidase assembly factor 4,[],False,False,False,False,,,
Y38C1AA.14,gene_protein,P45020,-0.05281658098101616,-0.0280984394514378,REJECT,Cytochrome Oxidase Assembly subunits,Probable cytochrome oxidase subunit 2,[],False,False,False,False,,,
Y38C1AA.14,gene_protein,P45021,-0.036619916558265686,-0.0280984394514378,REJECT,Cytochrome Oxidase Assembly subunits,Probable cytochrome oxidase subunit 1,[],False,False,False,False,,,
Y38C1AA.14,gene_protein,P53266,-0.060719698667526245,-0.0280984394514378,REJECT,Cytochrome Oxidase Assembly subunits,Cytochrome oxidase assembly protein SHY1,[],False,False,False,False,,,
Y38C1AA.14,gene_protein,Q9Y810,-0.04670989140868187,-0.0280984394514378,REJECT,Cytochrome Oxidase Assembly subunits,Cytochrome oxidase assembly protein shy1,[],False,False,False,False,,,
Y38C1AA.14,gene_molecularfunction,GO:0004129,-0.010655021294951439,-0.0286995250249342,ACCEPT,Cytochrome Oxidase Assembly subunits,cytochrome-c oxidase activity,[],False,False,False,False,,,
Y38C1AA.14,gene_cellularcomponent,GO:0009319,-0.007013954222202301,-0.0358198597771757,ACCEPT,Cytochrome Oxidase Assembly subunits,cytochrome o ubiquinol oxidase complex,[],False,False,False,False,,,
Y38C1AA.14,gene_biologicalprocess,GO:0033617,-0.013516782782971859,-0.0356325677219588,ACCEPT,Cytochrome Oxidase Assembly subunits,mitochondrial cytochrome c oxidase assembly,['Gene_BiologicalProcess'],False,True,True,False,Gene_BiologicalProcess,,
Y38C1AA.14,gene_inhibits_biologicalprocess,GO:0033617,-0.17080044746398926,-0.0559618705714699,REJECT,Cytochrome Oxidase Assembly subunits,mitochondrial cytochrome c oxidase assembly,['Gene_BiologicalProcess'],False,True,False,False,Gene_BiologicalProcess,5.0,"{'gene_inhibits_biologicalprocess': -0.1708, 'gene_promotes_biologicalprocess': -0.2052, 'gene_negativelyassociatedwith_biologicalprocess': -0.2455, 'gene_positivelyassociatedwith_biologicalprocess': -0.2262, 'gene_notassociatedwith_biologicalprocess': -0.3398}"
Y38C1AA.14,gene_biologicalprocess,GO:1904959,-0.13198228180408478,-0.0356325677219588,REJECT,Cytochrome Oxidase Assembly subunits,regulation of cytochrome-c oxidase activity,[],False,False,False,False,,,
Y38C1AA.14,gene_positivelyassociatedwith_biologicalprocess,GO:1904959,-0.33021941781044006,-0.0730086550790463,REJECT,Cytochrome Oxidase Assembly subunits,regulation of cytochrome-c oxidase activity,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.3372, 'gene_promotes_biologicalprocess': -0.359, 'gene_negativelyassociatedwith_biologicalprocess': -0.4287, 'gene_positivelyassociatedwith_biologicalprocess': -0.3302, 'gene_notassociatedwith_biologicalprocess': -0.5215}"
Y38C1AA.14,gene_chemicalentity,5957,-0.017962466925382614,-0.0285922419958417,ACCEPT,Cytochrome Oxidase Assembly subunits,ATP,[],False,False,False,False,,,
Y38C1AA.14,gene_chemicalentity,5461108,-0.0103604132309556,-0.0285922419958417,ACCEPT,Cytochrome Oxidase Assembly subunits,ATP(4-),[],False,False,False,False,,,
Y38C1AA.14,gene_phenotype,MP:0014244,-0.03323454409837723,-0.0347684314162952,ACCEPT,Cytochrome Oxidase Assembly subunits,abnormal cellular ATP level,[],False,False,False,False,,,
Y38C1AA.14,gene_phenotype,MP:0014245,-0.029941387474536896,-0.0347684314162952,ACCEPT,Cytochrome Oxidase Assembly subunits,increased cellular ATP level,[],False,False,False,False,,,
Y38C1AA.14,gene_phenotype,MP:0014246,-0.0383087657392025,-0.0347684314162952,REJECT,Cytochrome Oxidase Assembly subunits,decreased cellular ATP level,[],False,False,False,False,,,
Y38C1AA.14,gene_biologicalprocess,GO:0071318,-0.009649315848946571,-0.0356325677219588,ACCEPT,Cytochrome Oxidase Assembly subunits,cellular response to ATP,[],False,False,False,False,,,
