head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
54670067,chemicalentity_chemicalentity,54679898,-0.18272046744823456,-0.2425281074611494,ACCEPT,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one","(2R)-3,4-dihydroxy-2-[(1S)-1-hydroxyethyl]-2H-furan-5-one",[],False,False,False,False,,,
54670067,chemicalentity_chemicalentity,91667835,-0.03877336159348488,-0.2425281074611494,ACCEPT,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one","zinc;(2R)-2-[(1S)-1,2-dihydroxyethyl]-3-hydroxy-5-oxo-2H-furan-4-olate",[],False,False,False,False,,,
54670067,chemicalentity_biologicalprocess,GO:0090403,-0.01642194576561451,-0.232143107153421,ACCEPT,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",oxidative stress-induced premature senescence,[],False,False,False,False,,,
54670067,chemicalentity_inhibits_biologicalprocess,GO:0090403,-0.22570714354515076,-0.7050372264239742,ACCEPT,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",oxidative stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.2759, 'chemicalentity_noeffect_biologicalprocess': -1.2007, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4056, 'chemicalentity_promotes_biologicalprocess': -0.3637, 'chemicalentity_inhibits_biologicalprocess': -0.2257, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3418}"
54670067,chemicalentity_protein,Q5STF9,-0.02225377783179283,-0.3552259656009227,ACCEPT,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",Ribonuclease P protein subunit p21,[],False,False,False,False,,,
54679898,chemicalentity_chemicalentity,91667835,-3.3472044467926025,-0.2425281074611494,REJECT,"(2R)-3,4-dihydroxy-2-[(1S)-1-hydroxyethyl]-2H-furan-5-one","zinc;(2R)-2-[(1S)-1,2-dihydroxyethyl]-3-hydroxy-5-oxo-2H-furan-4-olate",[],False,False,False,False,,,
54679898,chemicalentity_biologicalprocess,GO:0090403,-2.833200693130493,-0.232143107153421,REJECT,"(2R)-3,4-dihydroxy-2-[(1S)-1-hydroxyethyl]-2H-furan-5-one",oxidative stress-induced premature senescence,[],False,False,False,False,,,
54679898,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090403,-1.3517392873764038,-0.596142909254255,REJECT,"(2R)-3,4-dihydroxy-2-[(1S)-1-hydroxyethyl]-2H-furan-5-one",oxidative stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -1.3517, 'chemicalentity_noeffect_biologicalprocess': -2.5485, 'chemicalentity_notassociatedwith_biologicalprocess': -1.5806, 'chemicalentity_promotes_biologicalprocess': -2.1755, 'chemicalentity_inhibits_biologicalprocess': -2.1026, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -1.7903}"
54679898,chemicalentity_protein,Q5STF9,-1.2054340839385986,-0.3552259656009227,REJECT,"(2R)-3,4-dihydroxy-2-[(1S)-1-hydroxyethyl]-2H-furan-5-one",Ribonuclease P protein subunit p21,[],False,False,False,False,,,
91667835,chemicalentity_biologicalprocess,GO:0090403,-0.09778933227062225,-0.232143107153421,ACCEPT,"zinc;(2R)-2-[(1S)-1,2-dihydroxyethyl]-3-hydroxy-5-oxo-2H-furan-4-olate",oxidative stress-induced premature senescence,[],False,False,False,False,,,
91667835,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090403,-0.4463331699371338,-0.596142909254255,ACCEPT,"zinc;(2R)-2-[(1S)-1,2-dihydroxyethyl]-3-hydroxy-5-oxo-2H-furan-4-olate",oxidative stress-induced premature senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4463, 'chemicalentity_noeffect_biologicalprocess': -1.6711, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7097, 'chemicalentity_promotes_biologicalprocess': -0.9535, 'chemicalentity_inhibits_biologicalprocess': -0.6929, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4832}"
91667835,chemicalentity_protein,Q5STF9,-0.22777597606182098,-0.3552259656009227,ACCEPT,"zinc;(2R)-2-[(1S)-1,2-dihydroxyethyl]-3-hydroxy-5-oxo-2H-furan-4-olate",Ribonuclease P protein subunit p21,[],False,False,False,False,,,
GO:0090403,biologicalprocess_protein,Q5STF9,-0.7496299147605896,-0.4342587681103441,REJECT,oxidative stress-induced premature senescence,Ribonuclease P protein subunit p21,[],False,False,False,False,,,
